alumni_id,roll_number,name,department,batch_year,graduation_year,current_company,current_designation,years_of_experience,total_companies_worked,location,current_salary,career_domain,specialization,total_skills,linkedin_connections,github_contributions,is_mentor,mentees_count,mentor_rating,workshops_conducted,talks_given,publications,patents,open_source_contributions,career_growth_rate,job_satisfaction,willing_to_relocate,preferred_mentee_department,preferred_mentee_skills,availability_hours_per_month,response_time_hours,success_score
18,19ECE003,Harish Kumar,ECE,2019,2023,Texas Instruments,Embedded Engineer,3,1,Bangalore,1800000,Embedded,DSP,15,440,72,1,1,4.4,1,0,1,0,0,72,7,0,ECE,C|DSP|Embedded,4,20,89
19,19EEE003,Meena Pillai,EEE,2019,2023,Schneider Electric,Electrical Engineer,3,1,Chennai,1700000,Energy Management,Building Automation,13,395,0,1,1,4.2,1,0,0,0,0,68,7,0,EEE,BMS|Automation,3,22,87
20,19MEC003,Vivek Yadav,MEC,2019,2023,Mahindra,Design Engineer,3,1,Pune,1650000,Automotive,Vehicle Design,14,410,0,1,1,4.3,1,1,0,0,0,70,7,0,MEC,CATIA|Automotive,4,20,88
21,19CIV003,Sowmya Reddy,CIV,2019,2023,Gammon India,Structural Engineer,3,1,Hyderabad,1550000,Construction,Structural Analysis,11,340,0,0,0,0.0,0,0,0,0,0,64,7,0,CIV,Staad Pro|Structural,0,0,85
22,20CSE001,Naveen Kumar,CSE,2020,2024,Zoho,Software Engineer,2,1,Chennai,1500000,SaaS,Full Stack,16,490,124,1,1,4.6,1,0,0,0,3,75,8,0,CSE,JavaScript|React|Node,5,16,90
23,20CSE002,Rekha Singh,CSE,2020,2024,Freshworks,Software Engineer,2,1,Bangalore,1550000,SaaS,Frontend,15,465,108,1,1,4.5,1,1,0,0,2,74,8,0,CSE|IT,React|TypeScript|CSS,4,18,89
24,20IT003,Ashok Reddy,IT,2020,2024,Infosys,System Engineer,2,1,Hyderabad,1200000,IT Services,Cloud Support,14,420,85,0,0,0.0,0,0,0,0,1,68,7,1,IT,AWS|Support,0,0,84
25,20ECE004,Lavanya Kumar,ECE,2020,2024,Analog Devices,Design Engineer,2,1,Bangalore,1650000,Analog IC,IC Design,14,408,58,1,1,4.4,1,0,0,0,0,71,7,0,ECE,Analog Design|IC,3,20,88
26,20EEE004,Ramesh Naidu,EEE,2020,2024,L&T Electrical,Electrical Engineer,2,1,Mumbai,1400000,Power,Substation Design,12,365,0,0,0,0.0,0,0,0,0,0,65,7,0,EEE,AutoCAD Electrical|Power,0,0,86
27,20MEC004,Shruti Sharma,MEC,2020,2024,Cummins,Graduate Engineer,2,1,Pune,1550000,Diesel Engines,Engine Design,13,385,0,1,1,4.2,1,0,0,0,0,69,7,0,MEC,Engine Design|CAE,3,22,87
28,20CIV004,Ganesh Patel,CIV,2020,2024,NCC Limited,Site Engineer,2,1,Delhi,1350000,Construction,Site Management,10,310,0,0,0,0.0,0,0,0,0,0,62,6,0,CIV,Site Management|AutoCAD,0,0,83
29,17CSE003,Arjun Menon,CSE,2017,2021,Salesforce,Senior Software Engineer,5,2,Bangalore,2650000,CRM,Apex Development,21,740,198,1,2,4.7,2,1,0,0,5,84,9,0,CSE|IT,Salesforce|Apex|Lightning,7,12,94
30,17CSE004,Nithya Krishnan,CSE,2017,2021,Adobe,Senior Software Engineer,5,2,Bangalore,2700000,Creative Cloud,C++ Development,20,710,167,1,3,4.8,2,2,0,0,4,87,9,0,CSE,C++|Graphics|Qt,8,10,95
31,17IT002,Prakash Rao,IT,2017,2021,Oracle,Senior Database Administrator,5,2,Hyderabad,2350000,Database,Oracle DBA,18,580,112,1,2,4.5,2,1,0,0,2,76,8,0,IT|CSE,Oracle|SQL|Performance,6,14,91
32,17ECE002,Mythili Iyer,ECE,2017,2021,Broadcom,Senior Verification Engineer,5,2,Bangalore,2400000,Semiconductor,Verification,17,495,89,1,1,4.6,1,1,2,0,0,77,8,0,ECE,SystemVerilog|UVM,5,18,91
33,17EEE002,Sunil Kumar,EEE,2017,2021,GE,Senior Electrical Engineer,5,2,Bangalore,2250000,Power,Gas Turbines,15,435,0,1,1,4.4,1,1,1,0,0,73,8,0,EEE,Power Generation|Turbines,5,20,89
34,17MEC002,Preethi Menon,MEC,2017,2021,Ashok Leyland,Senior Design Engineer,5,2,Chennai,2150000,Commercial Vehicles,Chassis Design,16,450,0,1,1,4.3,1,0,1,0,0,72,7,0,MEC,Vehicle Design|Chassis,4,22,88
35,17CIV002,Balasubramanian K,CIV,2017,2021,GMR Infrastructure,Senior Engineer,5,2,Hyderabad,2050000,Infrastructure,Airports,13,370,0,1,1,4.2,1,1,0,0,0,67,7,0,CIV,Airport Design|Planning,4,24,87
36,18CSE003,Madhavi Reddy,CSE,2018,2022,PayPal,Software Engineer,4,2,Bangalore,2550000,Fintech,Payment Systems,20,680,185,1,2,4.7,2,1,0,0,4,83,9,0,CSE|IT,Java|Payment Systems,7,12,94
37,18CSE004,Venkat Sai,CSE,2018,2022,Uber,Software Engineer,4,2,Hyderabad,2450000,Mobility,Backend,19,645,172,1,2,4.6,1,1,0,0,3,81,8,1,CSE,Go|Microservices|Kafka,6,14,92
38,18IT002,Lakshmi Prasad,IT,2018,2022,Red Hat,DevOps Engineer,4,1,Bangalore,2300000,Open Source,Linux,18,595,138,1,2,4.7,2,2,1,0,12,85,9,0,IT|CSE,Linux|OpenShift|Ansible,8,10,94
39,18ECE003,Ramya Devi,ECE,2018,2022,Marvell,Design Engineer,4,1,Pune,2250000,Networking,Ethernet,16,470,74,1,1,4.4,1,0,1,0,0,73,7,0,ECE,Ethernet|PHY Design,4,18,89
40,18EEE003,Narasimha Rao,EEE,2018,2022,ABB,Automation Engineer,4,1,Mumbai,2100000,Industrial,Robotics,14,405,0,1,1,4.3,1,1,0,0,0,70,7,0,EEE,Industrial Robotics|PLC,4,20,88
41,18MEC003,Swathi Kumar,MEC,2018,2022,GE Aviation,Engineer,4,1,Bangalore,2250000,Aerospace,Jet Engines,15,440,0,1,1,4.5,1,1,1,0,0,75,8,0,MEC,Aerospace|Turbines,5,18,90
42,18CIV003,Mohan Krishna,CIV,2018,2022,Afcons Infrastructure,Design Engineer,4,2,Chennai,1900000,Infrastructure,Bridges,12,350,0,0,0,0.0,0,0,0,0,0,64,7,0,CIV,Bridge Design|Structural,0,0,85
43,19CSE003,Ananya Reddy,CSE,2019,2023,PhonePe,Software Engineer,3,1,Bangalore,1850000,Fintech,Mobile Backend,17,560,138,1,1,4.6,1,1,0,0,3,78,8,0,CSE|IT,Kotlin|Java|Mobile,5,16,91
44,19CSE004,Krishna Murthy,CSE,2019,2023,Ola,Software Engineer,3,1,Bangalore,1750000,Mobility,Backend,16,530,125,1,1,4.5,1,0,0,0,2,75,8,1,CSE,Python|Flask|Redis,4,18,89
45,19IT003,Sahana Rao,IT,2019,2023,Wipro,Senior System Engineer,3,1,Bangalore,1500000,IT Services,DevOps,15,480,95,1,1,4.3,1,1,0,0,1,72,7,0,IT|CSE,Docker|Kubernetes|CI/CD,4,18,88
46,19ECE004,Vinay Kumar,ECE,2019,2023,Xilinx,Engineer,3,1,Hyderabad,1800000,FPGA,FPGA Design,15,425,68,1,1,4.4,1,0,1,0,0,71,7,0,ECE,FPGA|Verilog|DSP,4,20,89
47,19EEE004,Saranya Lakshmi,EEE,2019,2023,Honeywell,Engineer,3,1,Bangalore,1650000,Building Tech,BMS,13,385,0,1,1,4.2,1,0,0,0,0,68,7,0,EEE,BMS|HVAC Control,3,22,87
48,19MEC004,Aditya Sharma,MEC,2019,2023,Eicher Motors,Engineer,3,1,Chennai,1600000,Automotive,Two-Wheeler,14,395,0,0,0,0.0,0,0,0,0,0,69,7,0,MEC,Vehicle Design|Testing,0,0,86
49,19CIV004,Divya Sree,CIV,2019,2023,Simplex Infrastructures,Engineer,3,1,Hyderabad,1500000,Construction,Residential,11,325,0,0,0,0.0,0,0,0,0,0,63,7,0,CIV,Construction|Estimation,0,0,84
50,20CSE003,Kiran Kumar,CSE,2020,2024,Citrix,Software Engineer,2,1,Bangalore,1600000,Networking,Virtualization,15,455,115,1,1,4.5,1,0,0,0,2,73,8,0,CSE|IT,C++|Networking|Virtual,4,18,89
51,20CSE004,Srividya Reddy,CSE,2020,2024,Nutanix,Software Engineer,2,1,Bangalore,1650000,Hyperconverged,Backend,16,470,120,1,1,4.6,1,1,0,0,3,75,8,0,CSE,Python|Distributed|Storage,5,16,90
52,20IT004,Mahesh Babu,IT,2020,2024,HCL Tech,Engineer,2,1,Chennai,1150000,IT Services,Support,13,395,78,0,0,0.0,0,0,0,0,1,67,6,1,IT,Support|Troubleshooting,0,0,82
53,20ECE005,Anusha Patel,ECE,2020,2024,NXP,Engineer,2,1,Bangalore,1600000,Automotive IC,IC Design,14,398,62,1,1,4.3,1,0,0,0,0,70,7,0,ECE,Automotive IC|Analog,3,20,87
54,20EEE005,Rajesh Naik,EEE,2020,2024,Alstom,Engineer,2,1,Mumbai,1450000,Rail,Signaling,12,355,0,0,0,0.0,0,0,0,0,0,64,7,0,EEE,Railway Signaling|Automation,0,0,85
55,20MEC005,Kavitha Nair,MEC,2020,2024,Volvo,Graduate Engineer,2,1,Bangalore,1600000,Trucks,Powertrain,13,375,0,1,1,4.1,0,0,0,0,0,68,7,0,MEC,Diesel Engines|Analysis,3,24,86
56,20CIV005,Anil Kumar,CIV,2020,2024,Larsen & Toubro,Engineer,2,1,Chennai,1400000,Construction,Infrastructure,10,305,0,0,0,0.0,0,0,0,0,0,61,6,0,CIV,Infrastructure|Roads,0,0,82
57,17CSM001,Harini Subramanian,CSM,2017,2021,Microsoft Research,Research Scientist,5,2,Bangalore,3200000,AI Research,Machine Learning,25,950,287,1,5,4.9,4,3,5,0,15,92,10,0,CSM|AIML|AID,ML|Research|Python,12,6,98
58,17CSM002,Karthikeyan R,CSM,2017,2021,Google AI,Senior ML Engineer,5,2,Bangalore,3100000,AI,Computer Vision,24,920,265,1,4,4.8,3,2,3,0,12,90,9,0,CSM|AIML|CSE,Computer Vision|PyTorch,10,8,97
59,17AID001,Bhavana Reddy,AID,2017,2021,Amazon,Senior Data Scientist,5,2,Bangalore,2700000,Data Science,ML Engineering,22,810,234,1,3,4.7,2,2,1,0,8,86,9,0,AID|CSM|AIML,Data Science|ML|Python,8,10,95
60,17AIML001,Gopal Krishna,AIML,2017,2021,NVIDIA,Senior ML Engineer,5,2,Bangalore,2900000,AI,Deep Learning,23,885,256,1,4,4.8,3,2,2,0,10,89,9,0,AIML|CSM|AID,Deep Learning|CUDA|PyTorch,10,8,96
61,18CSM001,Ramya Krishnan,CSM,2018,2022,Meta AI,ML Engineer,4,2,Bangalore,2800000,AI,NLP,22,795,242,1,3,4.7,2,1,2,0,9,87,9,0,CSM|AIML|CSE,NLP|Transformers|Python,8,10,95
62,18CSM002,Srinivas Rao,CSM,2018,2022,OpenAI,ML Engineer,4,2,Bangalore,2950000,AI Research,LLMs,23,845,258,1,3,4.8,3,2,3,0,11,90,10,1,CSM|AIML,LLMs|GPT|Research,10,8,97
63,18AID001,Padma Lakshmi,AID,2018,2022,Flipkart,Senior Data Scientist,4,2,Bangalore,2300000,E-commerce,Recommendation Systems,20,685,198,1,2,4.6,2,1,1,0,6,82,8,0,AID|CSM,Recommender Systems|ML,7,12,93
64,18AIML001,Sumanth Reddy,AIML,2018,2022,Uber,ML Engineer,4,2,Bangalore,2450000,Mobility,Deep Learning,21,715,215,1,2,4.7,2,1,1,0,7,84,9,1,AIML|CSM|CSE,Deep Learning|Computer Vision,8,10,94
65,19CSM001,Divya Bharathi,CSM,2019,2023,Fractal Analytics,Data Scientist,3,1,Mumbai,1850000,Analytics,AI/ML,18,595,176,1,2,4.5,1,1,1,0,4,79,8,0,CSM|AID|AIML,ML|Analytics|Python,6,14,91
66,19CSM002,Prashanth Kumar,CSM,2019,2023,Tiger Analytics,ML Engineer,3,1,Bangalore,1900000,Analytics,ML,19,615,182,1,2,4.6,1,1,1,0,5,81,8,0,CSM|AIML,ML Engineering|TensorFlow,6,14,92
67,19AID001,Vidya Sagar,AID,2019,2023,Swiggy,Data Scientist,3,1,Bangalore,1750000,Food Tech,Analytics,17,545,158,1,1,4.4,1,1,0,0,3,76,8,1,AID|CSM,Data Science|SQL|Python,5,16,89
68,19AIML001,Ravi Teja,AIML,2019,2023,Ola,ML Engineer,3,1,Bangalore,1800000,Mobility,Deep Learning,18,575,165,1,2,4.5,1,1,1,0,4,78,8,0,AIML|CSM|CSE,Deep Learning|Computer Vision,6,14,90
69,20CSM001,Lakshmi Priya,CSM,2020,2024,Accenture,AI Engineer,2,1,Bangalore,1550000,Consulting,AI/ML,16,485,142,1,1,4.3,1,0,0,0,2,73,7,0,CSM|AIML,ML|Python|AI,4,18,88
70,20CSM002,Naveen Chandra,CSM,2020,2024,Deloitte,ML Engineer,2,1,Hyderabad,1500000,Consulting,Analytics,15,460,135,1,1,4.2,1,1,0,0,2,72,7,1,CSM|AID,ML|Statistics|Python,4,18,87
71,20AID001,Shalini Reddy,AID,2020,2024,Mu Sigma,Data Scientist,2,1,Bangalore,1400000,Analytics,Data Science,14,425,118,0,0,0.0,0,0,0,0,1,68,7,0,AID,Data Science|Statistics,0,0,85
72,20AIML001,Chaitanya Kumar,AIML,2020,2024,LatentView,ML Engineer,2,1,Chennai,1450000,Analytics,ML,15,440,125,1,1,4.1,0,0,0,0,2,70,7,0,AIML|CSM,ML|Deep Learning|Python,3,20,86
73,17CIC001,Sandeep Varma,CIC,2017,2021,IBM Security,Senior Security Engineer,5,2,Bangalore,2500000,Cyber Security,Security Architecture,20,720,168,1,3,4.7,2,2,1,0,6,84,9,0,CIC|CSE|IT,Security|Blockchain|Python,8,10,94
74,17CIC002,Meera Balaji,CIC,2017,2021,Palo Alto Networks,Senior Security Analyst,5,2,Bangalore,2550000,Cyber Security,Threat Intelligence,19,695,152,1,2,4.6,2,1,2,0,5,82,8,0,CIC|CSE,Cyber Security|Threat Intel,7,12,93
75,17CSO001,Aravind Kumar,CSO,2017,2021,Siemens,Senior IoT Engineer,5,2,Bangalore,2350000,Industrial IoT,IIoT,18,640,145,1,2,4.5,2,1,1,0,4,80,8,0,CSO|ECE|CSE,IoT|Industrial|Sensors,7,12,92
76,17CSO002,Nandini Rao,CSO,2017,2021,Cisco,IoT Architect,5,2,Bangalore,2450000,Networking,IoT,19,670,158,1,3,4.7,2,2,1,0,5,83,9,0,CSO|CSE|IT,IoT|Networking|Edge,8,10,93
77,18CIC001,Vishal Reddy,CIC,2018,2022,CrowdStrike,Security Engineer,4,2,Bangalore,2300000,Cyber Security,Endpoint Security,18,610,138,1,2,4.5,1,1,1,0,4,79,8,0,CIC|CSE,Security|Python|Linux,6,14,91
78,18CIC002,Poornima Iyer,CIC,2018,2022,Fortinet,Security Analyst,4,1,Bangalore,2200000,Network Security,Firewall,17,575,125,1,2,4.4,1,1,0,0,3,77,8,0,CIC|IT,Network Security|Firewall,6,14,90
79,18CSO001,Kiran Shetty,CSO,2018,2022,Bosch,IoT Engineer,4,1,Bangalore,2250000,Automotive IoT,Connected Vehicles,18,590,142,1,2,4.6,2,1,1,0,4,81,8,0,CSO|ECE|CSE,Automotive IoT|Embedded,7,12,92
80,18CSO002,Shweta Menon,CSO,2018,2022,Honeywell,IoT Engineer,4,1,Bangalore,2150000,Building IoT,Smart Buildings,17,565,135,1,1,4.4,1,1,0,0,3,78,8,0,CSO|CSE,IoT|Smart Buildings|Sensors,6,14,90
81,19CIC001,Praveen Kumar,CIC,2019,2023,Infosec,Security Engineer,3,1,Bangalore,1700000,Cyber Security,Penetration Testing,16,520,118,1,1,4.3,1,1,0,0,2,75,7,0,CIC|CSE,Ethical Hacking|Pentesting,5,16,88
82,19CIC002,Archana Reddy,CIC,2019,2023,Quick Heal,Security Analyst,3,1,Pune,1600000,Security,Malware Analysis,15,485,105,1,1,4.2,1,0,1,0,2,73,7,0,CIC|CSE,Malware|Security|Python,4,18,87
83,19CSO001,Siddharth Rao,CSO,2019,2023,Tata Elxsi,IoT Engineer,3,1,Bangalore,1650000,Embedded IoT,Industrial,16,510,125,1,1,4.3,1,1,0,0,2,74,7,0,CSO|ECE|CSE,IoT|Embedded|Sensors,5,16,88
84,19CSO002,Vasudha Sharma,CSO,2019,2023,Tech Mahindra,IoT Developer,3,1,Hyderabad,1550000,IoT Solutions,Smart Cities,15,475,112,1,1,4.2,1,0,0,0,2,72,7,1,CSO|CSE,IoT|Edge|Python,4,18,86
85,20CIC001,Deepak Rao,CIC,2020,2024,Sophos,Junior Security Analyst,2,1,Bangalore,1400000,Cyber Security,Threat Detection,14,410,95,0,0,0.0,0,0,0,0,1,68,7,0,CIC,Security|Python,0,0,84
86,20CIC002,Akshara Reddy,CIC,2020,2024,McAfee,Security Engineer,2,1,Bangalore,1450000,Cyber Security,Endpoint,14,425,102,1,1,4.1,0,0,0,0,1,69,7,0,CIC|CSE,Security|Endpoint|Python,3,20,85
87,20CSO001,Manoj Krishna,CSO,2020,2024,Wipro IoT,IoT Engineer,2,1,Bangalore,1350000,IoT,Cloud IoT,14,395,108,1,1,4.0,1,0,0,0,2,67,7,0,CSO|CSE,IoT|Cloud|MQTT,3,20,84
88,20CSO002,Sahithi Patel,CSO,2020,2024,LG Soft,IoT Developer,2,1,Bangalore,1380000,Consumer IoT,Smart Home,13,378,98,0,0,0.0,0,0,0,0,1,66,7,1,CSO|ECE,IoT|Smart Home|Embedded,0,0,83
89,17CSE005,Balaji Sundaram,CSE,2017,2021,Walmart Labs,Senior Software Engineer,5,2,Bangalore,2750000,E-commerce,Backend,21,765,205,1,3,4.8,2,2,0,0,6,88,9,0,CSE|IT,Java|Microservices|Kafka,9,10,96
90,17CSE006,Gayathri Menon,CSE,2017,2021,LinkedIn,Senior Software Engineer,5,2,Bangalore,2800000,Social Network,Backend,22,790,218,1,3,4.8,3,2,0,0,7,89,9,0,CSE|IT,Java|Scala|Big Data,9,9,96
91,17IT003,Mohan Kumar,IT,2017,2021,VMware,Senior Cloud Engineer,5,2,Bangalore,2500000,Virtualization,Cloud,19,655,148,1,2,4.6,2,1,0,0,4,81,8,0,IT|CSE,VMware|vSphere|Cloud,7,12,93
92,17ECE003,Saritha Reddy,ECE,2017,2021,Samsung,Senior Design Engineer,5,2,Bangalore,2450000,Consumer Electronics,Mobile SoC,18,615,102,1,2,4.5,1,1,2,0,0,79,8,0,ECE,Mobile SoC|Low Power,6,14,91
93,17EEE003,Venkatesh Iyer,EEE,2017,2021,Vestas,Senior Wind Engineer,5,2,Chennai,2300000,Renewable,Wind Energy,16,525,0,1,2,4.6,2,1,1,0,0,78,8,1,EEE,Wind Energy|Turbines,6,14,92
94,17MEC003,Keerthi Kumar,MEC,2017,2021,Tesla,Senior Mechanical Engineer,5,2,Bangalore,2600000,Electric Vehicles,Battery Pack,18,685,0,1,3,4.7,2,2,1,0,0,84,9,1,MEC,EV|Battery|Mechanical,8,10,94
95,17CIV003,Srinivas Rao,CIV,2017,2021,Arup,Senior Structural Engineer,5,2,Mumbai,2150000,Consulting,Structural,14,435,0,1,1,4.4,1,1,1,0,0,72,8,0,CIV,Structural|FEM|Seismic,5,18,89
96,18CSE005,Lavanya Sharma,CSE,2018,2022,Twitter,Software Engineer,4,2,Bangalore,2500000,Social Media,Backend,20,695,192,1,2,4.7,2,1,0,0,5,85,9,1,CSE|IT,Scala|Distributed|API,8,10,94
97,18CSE006,Arun Prasad,CSE,2018,2022,Stripe,Software Engineer,4,2,Bangalore,2600000,Fintech,Payment Infrastructure,21,720,202,1,3,4.8,2,2,0,0,6,87,9,0,CSE|IT,Ruby|Rails|Payments,9,9,95
98,18IT003,Renuka Reddy,IT,2018,2022,Cloudflare,DevOps Engineer,4,2,Bangalore,2400000,CDN,Edge Computing,19,635,155,1,2,4.6,2,1,0,0,5,82,9,0,IT|CSE,Edge|CDN|Security,7,12,93
99,18ECE004,Sumanth Kumar,ECE,2018,2022,Apple,Hardware Engineer,4,2,Bangalore,2650000,Consumer Electronics,Wireless,19,665,118,1,2,4.7,1,1,2,1,0,85,9,0,ECE,Wireless|RF|Antenna,7,12,94
100,18EEE004,Padmavathi Nair,EEE,2018,2022,Tesla,Electrical Engineer,4,2,Bangalore,2400000,Electric Vehicles,Charging,16,585,0,1,2,4.6,2,1,1,0,0,80,8,1,EEE|MEC,EV Charging|Power,7,12,92
101,1702001,Padma Gupta,EEE,2017,2021,Rockwell,Senior Engineer,5,2,Noida,3064034,Power Systems,Grid,23,513,64,0,0,0.0,0,0,0,0,3,65,8,1,EEE|ECE,MATLAB|Power Systems|PLC,5,0,94
102,1702002,Kavya Verma,EEE,2017,2021,Eaton,Staff Engineer,5,1,Mumbai,2320605,Automation,PLC,21,635,39,1,2,4.7,1,3,0,0,1,88,9,1,EEE|CSM,MATLAB|Power Systems|PLC,4,10,91
103,1754003,Amit Swamy,AID,2017,2021,Swiggy,Senior Engineer,5,2,Chennai,2785714,Data Engineering,Pipelines,18,973,204,0,0,0.0,0,0,2,0,3,66,10,0,AID|CSM,Python|Data Science|SQL|ML,4,0,82
104,1749004,Vidya Naidu,CSO,2017,2021,Bosch,Senior Engineer,5,1,Mumbai,2371797,Edge Computing,IoT,13,313,42,1,5,4.7,1,1,0,0,2,82,7,1,CSO|AID,Python|IoT|Sensors|Edge,3,14,92
105,1754005,Ajay Shetty,AID,2017,2021,Meta,Principal Engineer,5,2,Bangalore,2226591,Data Science,Analytics,19,561,274,0,0,0.0,0,0,2,0,2,70,8,1,AID|CSM,Python|Data Science|SQL|ML,6,0,98
106,1742006,Keerthi Gupta,CSM,2017,2021,Meta AI,Senior Engineer,5,2,Pune,2706635,AI,NLP,24,346,104,1,4,4.6,4,1,2,0,3,92,10,0,CSM|AID,Python|ML|TensorFlow|PyTorch,8,10,98
107,1754007,Akshara Reddy,AID,2017,2021,Uber,Senior Engineer,5,2,Bangalore,2496390,Data Engineering,Pipelines,24,721,271,0,0,0.0,0,0,0,0,1,71,8,1,AID|CIC,Python|Data Science|SQL|ML,3,0,84
108,1761008,Ramya Srinivas,AIML,2017,2021,Cruise,Principal Engineer,5,1,Noida,2960318,AI,NLP,25,768,108,1,4,4.4,3,2,1,0,0,68,6,1,AIML|CSM,Python|Deep Learning|PyTorch,6,16,90
109,1747009,Krishna Srinivas,CIC,2017,2021,Check Point,Senior Engineer,5,1,Delhi,2577712,Blockchain,Smart Contracts,14,924,33,0,0,0.0,0,0,0,0,0,72,8,1,CIC|CIV,Python|Security|Blockchain,12,0,96
110,1703010,Gopal Kumar,MEC,2017,2021,Ashok Leyland,Principal Engineer,5,2,Mumbai,2543378,Automotive,Powertrain,15,837,84,1,5,4.9,4,3,0,0,1,77,10,1,MEC|EEE,SolidWorks|CATIA|ANSYS,3,16,87
111,1742011,Amit Patel,CSM,2017,2021,OpenAI,Principal Engineer,5,2,Pune,2818719,AI,Computer Vision,16,698,272,0,0,0.0,0,0,1,0,0,74,6,1,CSM|IT,Python|ML|TensorFlow|PyTorch,3,0,91
112,1701012,Kavya Krishna,CIV,2017,2021,Simplex,Senior Engineer,5,2,Noida,2712866,Structural Design,Buildings,24,955,47,0,0,0.0,0,0,0,0,0,95,8,1,CIV|CSM,AutoCAD|Staad Pro|Revit,6,0,82
